alias,canonical_role_id,canonical_role,evidence_count
渠道销售经理,backend-engineer,后端工程师,16
电话销售,backend-engineer,后端工程师,16
置业顾问,backend-engineer,后端工程师,16
财务会计,backend-engineer,后端工程师,16
酒店销售经理,backend-engineer,后端工程师,16
销售客户经理,backend-engineer,后端工程师,16
测试工程师,testing-engineer,测试工程师,16
运营经理,operations-specialist,运营,16
(放心投)口腔医生,backend-engineer,后端工程师,15
(有保障)口腔护士,backend-engineer,后端工程师,15
(直接谈)口腔护士,backend-engineer,后端工程师,15
(直聘)口腔护士,backend-engineer,后端工程师,15
(诚招)口腔护士,backend-engineer,后端工程师,15
[不要错过]护士,backend-engineer,后端工程师,15
[急聘]口腔护士,backend-engineer,后端工程师,15
[直接谈]口腔医生,backend-engineer,后端工程师,15
【待遇优】护士,backend-engineer,后端工程师,15
【急缺】护士,backend-engineer,后端工程师,15
【急聘】口腔护士,backend-engineer,后端工程师,15
【招贤纳士】护士,backend-engineer,后端工程师,15
【放心投】护士,backend-engineer,后端工程师,15
【直招】口腔护士,backend-engineer,后端工程师,15
【直招】护士,backend-engineer,后端工程师,15
【直聘】口腔医生,backend-engineer,后端工程师,15
【直聘】护士,backend-engineer,后端工程师,15
【诚招】口腔医生,backend-engineer,后端工程师,15
主办会计,backend-engineer,后端工程师,15
主管会计,backend-engineer,后端工程师,15
人事主管,backend-engineer,后端工程师,15
人力资源总监,backend-engineer,后端工程师,15
人力资源经理,backend-engineer,后端工程师,15
出纳会计,backend-engineer,后端工程师,15
医药销售代表,backend-engineer,后端工程师,15
售后服务工程师,backend-engineer,后端工程师,15
地区推广经理,backend-engineer,后端工程师,15
培训生课程顾问,backend-engineer,后端工程师,15
外贸专员,backend-engineer,后端工程师,15
实验员,backend-engineer,后端工程师,15
工程部经理,backend-engineer,后端工程师,15
幼师,backend-engineer,后端工程师,15
库管员,backend-engineer,后端工程师,15
店长,backend-engineer,后端工程师,15
技术员,backend-engineer,后端工程师,15
数控车工,backend-engineer,后端工程师,15
文员行政,backend-engineer,后端工程师,15
文案编辑,backend-engineer,后端工程师,15
档案管理员,backend-engineer,后端工程师,15
水电工程师,backend-engineer,后端工程师,15
污水处理工程师,backend-engineer,后端工程师,15
测量员,backend-engineer,后端工程师,15
渠道经理,backend-engineer,后端工程师,15
秘书,backend-engineer,后端工程师,15
统计员,backend-engineer,后端工程师,15
维修工,backend-engineer,后端工程师,15
自动化工程师,backend-engineer,后端工程师,15
营销总监,backend-engineer,后端工程师,15
财务出纳,backend-engineer,后端工程师,15
车间主任,backend-engineer,后端工程师,15
餐饮服务员,backend-engineer,后端工程师,15
设计师,designer,设计师,15
java开发工程师,java-backend-engineer,Java 后端工程师,14
产品销售助理,product-manager,产品经理,14
(不要错过)口腔护士,backend-engineer,后端工程师,14
(待遇优)口腔护士,backend-engineer,后端工程师,14
(待遇优)护士,backend-engineer,后端工程师,14
(急缺)护士,backend-engineer,后端工程师,14
(放心投)口腔护士,backend-engineer,后端工程师,14
(有保障)口腔医生,backend-engineer,后端工程师,14
(热门投递)口腔医生,backend-engineer,后端工程师,14
(直聘)护士,backend-engineer,后端工程师,14
(福利好)护士,backend-engineer,后端工程师,14
(诚招)护士,backend-engineer,后端工程师,14
[待遇优]口腔护士,backend-engineer,后端工程师,14
[有保障]口腔护士,backend-engineer,后端工程师,14
[直招]口腔护士,backend-engineer,后端工程师,14
[福利好]口腔护士,backend-engineer,后端工程师,14
【急招】口腔护士,backend-engineer,后端工程师,14
【急聘】护士,backend-engineer,后端工程师,14
【有保障】口腔医生,backend-engineer,后端工程师,14
【直接谈】口腔医生,backend-engineer,后端工程师,14
【直聘】口腔护士,backend-engineer,后端工程师,14
人事,backend-engineer,后端工程师,14
人事行政专员,backend-engineer,后端工程师,14
华东区级销售经理,backend-engineer,后端工程师,14
地区县级经理,backend-engineer,后端工程师,14
地区销售主管,backend-engineer,后端工程师,14
审计,backend-engineer,后端工程师,14
工程师,backend-engineer,后端工程师,14
市场部经理,backend-engineer,后端工程师,14
店员营业员,backend-engineer,后端工程师,14
执业药师,backend-engineer,后端工程师,14
数学老师,backend-engineer,后端工程师,14
文秘,backend-engineer,后端工程师,14
暖通工程师,backend-engineer,后端工程师,14
月城市合伙人,backend-engineer,后端工程师,14
材料员,backend-engineer,后端工程师,14
检验师,backend-engineer,后端工程师,14
法务主管,backend-engineer,后端工程师,14
电商客服,backend-engineer,后端工程师,14
电工维修,backend-engineer,后端工程师,14
电话客服,backend-engineer,后端工程师,14
策划专员,backend-engineer,后端工程师,14
结构工程师,backend-engineer,后端工程师,14
网络工程师,backend-engineer,后端工程师,14
置业顾问房产销售,backend-engineer,后端工程师,14
行政,backend-engineer,后端工程师,14
行政人事专员,backend-engineer,后端工程师,14
语文老师,backend-engineer,后端工程师,14
财务,backend-engineer,后端工程师,14
造价工程师,backend-engineer,后端工程师,14
销售经理主管,backend-engineer,后端工程师,14
质量管理员,testing-engineer,测试工程师,14
机械设计师,designer,设计师,14
(不要错过)护士,backend-engineer,后端工程师,13
(待遇优)口腔医生,backend-engineer,后端工程师,13
(急招)全科医生,backend-engineer,后端工程师,13
(急招)内科全科医生,backend-engineer,后端工程师,13
(招贤纳士)口腔护士,backend-engineer,后端工程师,13
(放心投)护士,backend-engineer,后端工程师,13
(有保障)护士,backend-engineer,后端工程师,13
(直招)口腔护士,backend-engineer,后端工程师,13
(高薪12000元以上)口腔医生,backend-engineer,后端工程师,13
[急缺]口腔护士,backend-engineer,后端工程师,13
[急聘]护士,backend-engineer,后端工程师,13
[直接谈]口腔护士,backend-engineer,后端工程师,13
「YYDS」招人啦!中医医生,backend-engineer,后端工程师,13
【不要错过】口腔医生,backend-engineer,后端工程师,13
【不要错过】护士,backend-engineer,后端工程师,13
【放心投】口腔医生,backend-engineer,后端工程师,13
【机会来了】护士,backend-engineer,后端工程师,13
